date,population,admission,release,los_1_day,los_2-3_days,los_4-7_days,los_8-14_days,los_15-30_days,los_31-60_days,los_61-90_days,los_91-182_days,los_183-365_days,los_365+_days
2022-01-26,129815.81384861513,2792.1249634129836,3251.8606694845903,0,0,0,0,0,0,0,0,0,0
2022-01-27,129484.34480921019,2987.891630079651,3023.8606694845903,0,0,0,0,0,0,0,0,0,0
2022-01-28,129474.37576980524,3013.891630079651,2759.4695325513476,0,0,0,0,0,0,0,0,0,0
2022-01-29,129853.97813618749,3139.0718989336037,1316.2695325513475,0,0,0,0,0,0,0,0,0,0
2022-01-30,130802.7138359031,2263.3385656002697,1462.2695325513473,0,0,0,0,0,0,0,0,0,0
2022-01-31,131107.9495356187,1842.0052322669364,3527.852865884681,0,0,0,0,0,0,0,0,0,0
2022-02-01,130388.46301311205,2811.894121155826,3508.380643662459,0,0,0,0,0,0,0,0,0,0
2022-02-02,130140.47649060539,3241.144121155826,3182.130643662459,0,0,0,0,0,0,0,0,0,0
2022-02-03,129729.18996809877,2771.644121155826,2747.630643662459,0,0,0,0,0,0,0,0,0,0
2022-02-04,129505.10344559216,2523.5441211558255,2237.6829165999357,0,0,0,0,0,0,0,0,0,0
2022-02-05,130054.35319297086,2816.894347755899,1306.1446003772198,0,0,0,0,0,0,0,0,0,0
2022-02-06,130985.6029403495,2238.8943477558996,1483.6446003772198,0,0,0,0,0,0,0,0,0,0
2022-02-07,131355.85268772818,1852.8943477558996,3554.5112670438866,0,0,0,0,0,0,0,0,0,0
2022-02-08,131050.40243510687,3247.3110144225666,3375.5112670438866,0,0,0,0,0,0,0,0,0,0
2022-02-09,130867.95218248552,3194.5610144225666,3587.70541909067,0,0,0,0,0,0,0,0,0,0
2022-02-10,130319.32415208647,3343.4387922003443,3272.2334892661092,0,0,0,0,0,0,0,0,0,0
2022-02-11,130399.02945502067,3351.9387922003443,2925.4668564894773,0,0,0,0,0,0,0,0,0,0
2022-02-12,130776.25189429891,3320.155073037248,1415.4326337590278,0,0,0,0,0,0,0,0,0,0
2022-02-13,131572.97433357712,2212.155073037248,1706.4326337590278,0,0,0,0,0,0,0,0,0,0
2022-02-14,131825.19677285536,1959.6550730372473,3554.138113211083,0,0,0,0,0,0,0,0,0,0
2022-02-15,131220.3146459235,2968.237721439075,3537.6198483709004,0,0,0,0,0,0,0,0,0,0
2022-02-16,131141.4325189917,3458.737721439075,3513.1198483709004,0,0,0,0,0,0,0,0,0,0
2022-02-17,131023.05039205987,3396.237721439075,3171.1198483709004,0,0,0,0,0,0,0,0,0,0
2022-02-18,130787.16826512804,2933.737721439075,3217.6198483709004,0,0,0,0,0,0,0,0,0,0
2022-02-19,131033.78613819624,3465.737721439075,1508.1198483709,0,0,0,0,0,0,0,0,0,0
2022-02-20,131881.40401126439,2354.7377214390744,1612.2865150375667,0,0,0,0,0,0,0,0,0,0
2022-02-21,132379.52188433256,2111.737721439074,2109.75741738167,0,0,0,0,0,0,0,0,0,0
2022-02-22,132519.16369621872,2333.238256932482,3929.5964450463157,0,0,0,0,0,0,0,0,0,0
2022-02-23,131694.80550810488,3103.904923599149,3471.4297783796487,0,0,0,0,0,0,0,0,0,0
2022-02-24,131374.61398665773,3151.2382569324823,3465.263111712982,0,0,0,0,0,0,0,0,0,0
2022-02-25,130832.42246521055,2923.9049235991492,3267.4059688558386,0,0,0,0,0,0,0,0,0,0
2022-02-26,130924.39761043007,3359.5715902658158,1491.7631117129822,0,0,0,0,0,0,0,0,0,0
2022-02-27,131795.7060889829,2363.7382569324823,1695.9297783796487,0,0,0,0,0,0,0,0,0,0
2022-02-28,132022.01456753572,1921.0715902658155,3955.554778379649,0,0,0,0,0,0,0,0,0,0
2022-03-01,131195.03137942188,3127.2382569324827,3340.554778379649,0,0,0,0,0,0,0,0,0,0
2022-03-02,131192.04819130807,3338.2382569324823,3560.7862087050025,0,0,0,0,0,0,0,0,0,0
2022-03-03,130851.7325906712,3274.1722655267126,3553.0711994968988,0,0,0,0,0,0,0,0,0,0
2022-03-04,130801.91699003435,3502.3984560029025,3163.7711994968986,0,0,0,0,0,0,0,0,0,0
2022-03-05,131354.60138939752,3714.3389321933787,1512.8550182671252,0,0,0,0,0,0,0,0,0,0
2022-03-06,132254.4077952331,2414.1594823551904,1854.019743186219,0,0,0,0,0,0,0,0,0,0
2022-03-07,132517.5475344021,2117.6594823551904,3891.8322431862193,0,0,0,0,0,0,0,0,0,0
2022-03-08,131653.18727357106,3027.576149021858,3511.6447431862193,0,0,0,0,0,0,0,0,0,0
2022-03-09,131362.42820321623,3220.1190061647144,3669.978076519553,0,0,0,0,0,0,0,0,0,0
2022-03-10,130961.66913286141,3269.2190061647148,3377.727585360417,0,0,0,0,0,0,0,0,0,0
2022-03-11,130678.10456152425,3220.9135051823964,3128.978076519553,0,0,0,0,0,0,0,0,0,0
2022-03-12,130870.3733235204,3321.2468385157295,1375.0609704855747,0,0,0,0,0,0,0,0,0,0
2022-03-13,130837.8723139876,2052.982339394464,1671.983348927285,0,0,0,0,0,0,0,0,0,0
2022-03-14,131113.87130445478,1947.9823393944644,3746.983348927285,0,0,0,0,0,0,0,0,0,0
2022-03-15,130505.87029492197,3138.982339394464,3542.6976346415713,0,0,0,0,0,0,0,0,0,0
2022-03-16,130253.58357110339,3290.9109108230355,3496.6976346415713,0,0,0,0,0,0,0,0,0,0
2022-03-17,130255.29684728487,3497.9109108230355,3529.1976346415713,0,0,0,0,0,0,0,0,0,0
2022-03-18,130156.176790133,3431.5775774897024,3167.0309679749043,0,0,0,0,0,0,0,0,0,0
2022-03-19,130363.2233996478,3374.0775774897024,1470.5309679749043,0,0,0,0,0,0,0,0,0,0
2022-03-20,131242.77000916263,2350.0775774897024,1570.5309679749043,0,0,0,0,0,0,0,0,0,0
2022-03-21,131623.64995201075,1951.4109108230355,4060.6976346415713,0,0,0,0,0,0,0,0,0,0
2022-03-22,131029.02989485888,3466.0775774897015,3655.650015593952,0,0,0,0,0,0,0,0,0,0
2022-03-23,130613.21936151652,3238.901982251607,3984.7611267050634,0,0,0,0,0,0,0,0,0,0
2022-03-24,130408.90882817419,3779.506148918274,3601.013590862769,0,0,0,0,0,0,0,0,0,0
2022-03-25,130173.36442386408,3381.2722779505316,3028.844218492503,0,0,0,0,0,0,0,0,0,0
2022-03-26,130456.15335288733,3311.63314751575,3378.344218492503,0,0,0,0,0,0,0,0,0,0
2022-03-27,129400.4422819106,2322.6331475157494,1836.3442184925027,0,0,0,0,0,0,0,0,0,0
2022-03-28,129622.23121093384,2055.883147515749,3681.344218492503,0,0,0,0,0,0,0,0,0,0
